6586,01CT,heliport,Berlin Fairgrounds Heliport,US,US-CT,Berlin,01CT,01CT
6587,01FA,small_airport,Rybolt Ranch Airport,US,US-FL,Orlando,01FA,01FA
6588,01FD,heliport,Florida Hospital-Altamonte Heliport,US,US-FL,Altamonte Springs,01FD,01FD
6589,01FL,small_airport,Cedar Knoll Flying Ranch Airport,US,US-FL,Geneva,01FL,01FL
6590,01GA,heliport,Medical Center Heliport,US,US-GA,Columbus,01GA,01GA
6591,01GE,small_airport,The Farm Airport,US,US-GA,Wrightsville,01GE,01GE
6592,01IA,small_airport,Stender Airport,US,US-IA,Maysville,01IA,01IA
6530,01ID,small_airport,Lava Hot Springs Airport,US,US-ID,Lava Hot Springs,01ID,01ID
6593,01II,small_airport,Myers Field,US,US-IN,Lizton,01II,01II
6594,01IL,heliport,Hoopeston Community Memorial Hospital Heliport,US,US-IL,Hoopeston,01IL,01IL
6595,01IN,heliport,Community Hospital Heliport,US,US-IN,Anderson,01IN,01IN
6596,01IS,small_airport,William E. Koenig Airport,US,US-IL,Dow,01IS,01IS
6597,01J,small_airport,Hilliard Airpark,US,US-FL,Hilliard,01J,01J
6598,01K,small_airport,Caldwell Municipal Airport,US,US-KS,Caldwell,01K,01K
6599,01KS,small_airport,Flying N Ranch Airport,US,US-KS,Lost Springs,01KS,01KS
6600,01KY,heliport,Lourdes Hospital Heliport,US,US-KY,Paducah,01KY,01KY
6601,01LA,small_airport,Barham Airport,US,US-LA,Oak Ridge,01LA,01LA
6602,01LL,small_airport,Schumaier Restricted Landing Area,US,US-IL,Pinckneyville,01LL,01LL
6603,01LS,small_airport,Country Breeze Airport,US,US-LA,Slaughter,01LS,01LS
6604,01MA,heliport,Compaq Andover Heliport,US,US-MA,Andover,01MA,01MA
6605,01MD,seaplane_base,Annapolis Seaplane Base,US,US-MD,Annapolis,01MD,01MD
6606,01ME,seaplane_base,Saint Peter's Seaplane Base,US,US-ME,Portage Lake,01ME,01ME
6607,01MI,heliport,Flow Through Terminal Heliport,US,US-MI,Flint,01MI,01MI
6608,01MN,seaplane_base,Barnes Seaplane Base,US,US-MN,Cook,01MN,01MN
6609,01MO,heliport,Highway Patrol Troop C Headquarters Heliport,US,US-MO,Town and Country,01MO,01MO
6610,01MT,small_airport,Crystal Lakes Resort Airport,US,US-MT,Fortine,01MT,01MT
6611,01NC,small_airport,Topsail Airpark,US,US-NC,Holly Ridge,01NC,01NC
6612,01NE,small_airport,Detour Airport,US,US-NE,Wellfleet,01NE,01NE
6613,01NH,small_airport,Moore Airfield,US,US-NH,Enfield,01NH,01NH
6614,01NJ,heliport,Albert Guido Memorial Heliport,US,US-NJ,Newark,01NJ,01NJ
45537,01NM,small_airport,Champion Ranch Airport,US,US-NM,Artesia,01NM,01NM
6615,01NV,small_airport,Lantana Ranch Airport,US,US-NV,Yerington,01NV,01NV
6616,01NY,heliport,Vassar Hospital Heliport,US,US-NY,Poughkeepsie,01NY,01NY
6617,01OI,heliport,Galion Community Hospital Heliport,US,US-OH,Galion,01OI,01OI
6618,01OK,small_airport,Lawrence Airport,US,US-OK,Eakly,01OK,01OK
6619,01OR,small_airport,Red & White Flying Service Airport,US,US-OR,Silver Lake,01OR,01OR
6620,01PA,heliport,Pine Heliport,US,US-PA,Mars,01PA,01PA
6621,01PN,small_airport,Bierly(Personal Use) Airport,US,US-PA,Bellefonte,01PN,01PN
6622,01PS,small_airport,Nort's Resort Airport,US,US-PA,Meshoppen,01PS,01PS
6623,01SC,small_airport,York Airport,US,US-SC,York,01SC,01SC
6624,01TA,heliport,Thirty Thirty Matlock Office Center Heliport,US,US-TX,Arlington,01TA,01TA
6625,01TE,small_airport,Smith Field,US,US-TX,Forney,01TE,01TE
6626,01TN,small_airport,Colonial Air Park,US,US-TN,Collierville,01TN,01TN
6627,01TS,heliport,St Joseph Hospital Heliport,US,US-TX,Fort Worth,01TS,01TS
6628,01TX,small_airport,Mims Farm Ultralightport,US,US-TX,Waxahachie,01TX,01TX
6629,01U,small_airport,Duckwater Airport,US,US-NV,Duckwater,01U,01U
